Designator,Mid X,Mid Y,Rotation,Layer
C21,189.5,-119.4,0.0,top
D1,194.0,-119.4,270.0,top
J2,207.8,-108.76,0.0,top
J3,200.47,-97.5,270.0,top
JP1,197.5,-120.5,0.0,top
JP2,179.4,-119.9,270.0,top
R5,182.9825,-121.6,180.0,top
R6,182.9825,-119.09,180.0,top
R7,190.1,-121.0,0.0,top
U1,186.499006,-106.25,90.0,top
U5,186.615,-120.25,180.0,top
